text,target,len,is_spam,text_clean
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,109,0,"['gona', 'home', 'son', 'want', 'talk', 'stuf', 'anymore', 'tonight', 'k', 'cry', 'enough', 'today']"
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,136,1,"['six', 'chance', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'p', 'day', 'day', 'tsandcs', 'aply', 'reply', 'hl', 'info']"
"URGENT! You have won a 1 week FREE membership in our еЈ100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,156,1,"['urgent', 'wek', 'fre', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'c', 'w', 'dbuk', 'net', 'lcltd', 'pobox', 'ldnw', 'rw']"
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,196,0,"['ben', 'search', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'grant', 'wil', 'fulfil', 'promise', 'ben', 'wonderful', 'blesing', 'al', 'time']"
I HAVE A DATE ON SUNDAY WITH WILL!!,0,35,0,"['date', 'sunday', 'wil']"
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,149,1,"['xmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'mesage', 'click', 'htp', 'wap', 'xmobilemovieclub', 'com', 'n', 'qjkgighjgcbl']"
Oh k...i'm watching here:),0,26,0,"['oh', 'k', 'watch']"
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,81,0,"['eh', 'u', 'remember', 'spel', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']"
Fine if thatеХs the way u feel. ThatеХs the way its gota b,0,58,0,"['fine', 'way', 'u', 'fel', 'way', 'gota', 'b']"
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Мј1.20 POBOXox36504W45WQ 16+",1,156,1,"['england', 'v', 'macedonia', 'dont', 'mi', 'goal', 'team', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'england', 'try', 'wale', 'scotland', 'txt', 'poboxox', 'w', 'wq']"
Is that seriously how you spell his name?,0,41,0,"['seriously', 'spel', 'name']"
I‰Ычm going to try for 2 months ha ha only joking,0,49,0,"['go', 'try', 'month', 'ha', 'ha', 'joking']"
So М_ pay first lar... Then when is da stock comin...,0,53,0,"['pay', 'first', 'lar', 'da', 'stock', 'comin']"
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,88,0,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']"
Ffffffffff. Alright no way I can meet up with you sooner?,0,57,0,"['f', 'alright', 'way', 'meet', 'soner']"
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,144,0,"['force', 'eat', 'slice', 'realy', 'hungry', 'tho', 'suck', 'mark', 'get', 'woried', 'know', 'sick', 'turn', 'piza', 'lol']"
Lol your always so convincing.,0,30,0,"['lol', 'always', 'convince']"
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,134,0,"['catch', 'bus', 'fry', 'eg', 'make', 'tea', 'eating', 'mom', 'leave', 'diner', 'fel', 'love']"
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,75,0,"['back', 'amp', 'packing', 'car', 'l', 'let', 'know', 'rom']"
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,64,0,"['ah', 'work', 'vaguely', 'remember', 'fel', 'like', 'lol']"
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,130,0,"['wait', 'stil', 'al', 'clear', 'sure', 'sarcastic', 'x', 'want', 'live', 'u']"
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,189,0,"['yeah', 'get', 'v', 'apologetic', 'n', 'falen', 'actin', 'like', 'spoilt', 'child', 'get', 'caught', 'til', 'go', 'badly', 'chers']"
K tell me anything about you.,0,29,0,"['k', 'tel', 'anything']"
For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,84,0,"['fear', 'faint', 'al', 'housework', 'quick', 'cupa']"
Thanks for your subscription to Ringtone UK your mobile will be charged еЈ5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,159,1,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'wil', 'charge', 'month', 'please', 'confirm', 'reply', 'yes', 'reply', 'wil', 'charge']"
Yup... Ok i go home look at the timings then i msg М_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,123,0,"['yup', 'ok', 'go', 'home', 'lok', 'timing', 'msg', 'xuhui', 'go', 'learn', 'nd', 'may', 'leson']"
"Oops, I'll let you know when my roommate's done",0,47,0,"['ops', 'l', 'let', 'know', 'romate', 'do']"
I see the letter B on my car,0,28,0,"['se', 'leter', 'b', 'car']"
Anything lor... U decide...,0,27,0,"['anything', 'lor', 'u', 'decide']"
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,155,0,"['helo', 'saturday', 'go', 'texting', 'se', 'decide', 'anything', 'tomo', 'try', 'invite', 'anything']"
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,82,0,"['pls', 'go', 'ahead', 'wats', 'wanted', 'sure', 'great', 'wekend', 'abiola']"
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,142,0,"['forget', 'tel', 'want', 'ned', 'crave', 'al', 'love', 'swet', 'arabian', 'sted', 'yumy']"
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,172,1,"['rodger', 'burn', 'msg', 'tried', 'cal', 'reply', 'sm', 'fre', 'nokia', 'mobile', 'fre', 'camcorder', 'please', 'cal', 'delivery', 'tomorow']"
WHO ARE YOU SEEING?,0,19,0,['see']
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,72,0,"['great', 'hope', 'like', 'man', 'wel', 'endow', 'lt', 'gt', 'inch']"
No calls..messages..missed calls,0,32,0,"['cals', 'mesages', 'mised', 'cals']"
Didn't you get hep b immunisation in nigeria.,0,45,0,"['get', 'hep', 'b', 'imunisation', 'nigeria']"
"Fair enough, anything going on?",0,31,0,"['fair', 'enough', 'anything', 'go']"
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,67,0,"['yeah', 'hopefuly', 'tyler', 'could', 'maybe', 'ask', 'around', 'bit']"
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,148,0,"['u', 'know', 'stuborn', 'even', 'want', 'go', 'hospital', 'keep', 'teling', 'mark', 'weak', 'sucker', 'hospital', 'weak', 'sucker']"
What you thinked about me. First time you saw me in class.,0,58,0,"['think', 'first', 'time', 'saw', 'clas']"
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,124,0,"['gram', 'usualy', 'run', 'like', 'lt', 'gt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'lt', 'gt']"
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,80,0,"['k', 'fyi', 'x', 'ride', 'early', 'tomorow', 'morning', 'crash', 'place', 'tonight']"
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,291,0,"['wow', 'never', 'realize', 'embarased', 'acomodations', 'think', 'like', 'since', 'best', 'could', 'always', 'semed', 'hapy', 'cave', 'sory', 'give', 'sory', 'ofered', 'sory', 'rom', 'embarasing']"
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,120,1,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'corect', 'incorect', 'end', 'reply', 'end', 'sptv']"
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,76,0,"['know', 'malika', 'sherawat', 'yesterday', 'find', 'lt', 'url', 'gt']"
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,161,1,"['congrats', 'year', 'special', 'cinema', 'pa', 'cal', 'c', 'suprman', 'v', 'matrix', 'starwars', 'etc', 'al', 'fre', 'bx', 'ip', 'pm', 'dont', 'mi']"
"Sorry, I'll call later in meeting.",0,34,0,"['sory', 'l', 'cal', 'later', 'meting']"
Tell where you reached,0,22,0,"['tel', 'reach']"
Yes..gauti and sehwag out of odi series.,0,40,0,"['yes', 'gauti', 'sehwag', 'odi', 'series']"
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,108,0,"['gona', 'pick', 'burger', 'way', 'home', 'even', 'move', 'pain', 'kiling']"
Ha ha ha good joke. Girls are situation seekers.,0,48,0,"['ha', 'ha', 'ha', 'god', 'joke', 'girl', 'situation', 'sekers']"
Its a part of checking IQ,0,25,0,"['part', 'check', 'iq']"
"Sorry my roommates took forever, it ok if I come by now?",0,56,0,"['sory', 'romates', 'tok', 'forever', 'ok', 'come']"
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,110,0,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dreser', 'already', 'say', 'wun', 'cut', 'v', 'short', 'say', 'wil', 'cut', 'lok', 'nice']"
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a еЈ1500 Bonus Prize, call 09066364589",1,153,1,"['value', 'customer', 'please', 'advise', 'folowing', 'recent', 'review', 'mob', 'award', 'bonus', 'prize', 'cal']"
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,124,0,"['today', 'song', 'dedicate', 'day', 'song', 'wil', 'u', 'dedicate', 'send', 'al', 'ur', 'valuable', 'frnds', 'first', 'rply']"
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or еЈ1000. To claim txt DIS to 87121 18+6*еЈ1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,161,1,"['urgent', 'ur', 'award', 'complimentary', 'trip', 'eurodisinc', 'trav', 'aco', 'entry', 'claim', 'txt', 'dis', 'morefrmob', 'shracomorsglsuplt', 'l', 'aj']"
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,80,1,"['hear', 'new', 'divorce', 'barbie', 'come', 'al', 'ken', 'stuf']"
I plane to give on this month end.,0,34,0,"['plane', 'give', 'month', 'end']"
Wah lucky man... Then can save money... Hee...,0,46,0,"['wah', 'lucky', 'man', 'save', 'money']"
Finished class where are you.,0,29,0,"['finish', 'clas']"
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,45,0,"['hi', 'babe', 'im', 'home', 'wana', 'something', 'x']"
K..k:)where are you?how did you performed?,0,42,0,"['k', 'k', 'perform']"
U can call me now...,0,20,0,"['u', 'cal']"
I am waiting machan. Call me once you free.,0,43,0,"['wait', 'machan', 'cal', 'fre']"
Thats cool. i am a gentleman and will treat you with dignity and respect.,0,73,0,"['thats', 'col', 'gentleman', 'wil', 'treat', 'dignity', 'respect']"
I like you peoples very much:) but am very shy pa.,0,50,0,"['like', 'people', 'much', 'shy', 'pa']"
Does not operate after  &lt;#&gt;  or what,0,42,0,"['operate', 'lt', 'gt']"
Its not the same here. Still looking for a job. How much do Ta's earn there.,0,76,0,"['stil', 'loking', 'job', 'much', 'ta', 'earn']"
"Sorry, I'll call later",0,22,0,"['sory', 'l', 'cal', 'later']"
K. Did you call me just now ah? ,0,32,0,"['k', 'cal', 'ah']"
Ok i am on the way to home hi hi,0,32,0,"['ok', 'way', 'home', 'hi', 'hi']"
You will be in the place of that man,0,36,0,"['wil', 'place', 'man']"
Yup next stop.,0,14,0,"['yup', 'next', 'stop']"
"I call you later, don't have network. If urgnt, sms me.",0,55,0,"['cal', 'later', 'network', 'urgnt', 'sm']"
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,121,0,"['real', 'u', 'get', 'yo', 'ned', 'ticket', 'one', 'jacket', 'do', 'already', 'use', 'al', 'multis']"
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,144,0,"['yes', 'start', 'send', 'request', 'make', 'pain', 'come', 'back', 'back', 'bed', 'double', 'coin', 'factory', 'gota', 'cash', 'al', 'nitros']"
I'm really not up to it still tonight babe,0,42,0,"['realy', 'stil', 'tonight', 'babe']"
"Ela kano.,il download, come wen ur free..",0,41,0,"['ela', 'kano', 'il', 'download', 'come', 'wen', 'ur', 'fre']"
Yeah do! Don‰Ычt stand to close tho- you‰Ычll catch something!,0,62,0,"['yeah', 'stand', 'close', 'tho', 'l', 'catch', 'something']"
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,195,0,"['sory', 'pain', 'ok', 'meet', 'another', 'night', 'spend', 'late', 'afternon', 'casualty', 'mean', 'do', 'stuf', 'moro', 'include', 'al', 'time', 'shets', 'sory']"
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,141,0,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum', 'hurt', 'u', 'smile', 'becoz', 'someone', 'stil', 'love', 'se', 'u', 'smiling']"
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed еЈ1000 cash or еЈ5000 prize!,1,139,1,"['please', 'cal', 'customer', 'service', 'representative', 'betwen', 'pm', 'guaranted', 'cash', 'prize']"
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,107,0,"['havent', 'plan', 'buy', 'later', 'check', 'already', 'lido', 'get', 'show', 'e', 'afternon', 'u', 'finish', 'work', 'already']"
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1,125,1,"['fre', 'ringtone', 'wait', 'colected', 'simply', 'text', 'pasword', 'mix', 'verify', 'get', 'usher', 'britney', 'fml']"
Watching telugu movie..wat abt u?,0,33,0,"['watch', 'telugu', 'movie', 'wat', 'abt', 'u']"
i see. When we finish we have loads of loans to pay,0,51,0,"['se', 'finish', 'load', 'loan', 'pay']"
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0,184,0,"['hi', 'wk', 'ben', 'ok', 'hols', 'yes', 'bite', 'run', 'forget', 'hairdresers', 'apointment', 'four', 'ned', 'get', 'home', 'n', 'shower', 'beforehand', 'cause', 'prob', 'u', 'ham']"
Please don't text me anymore. I have nothing else to say.,0,57,0,"['please', 'text', 'anymore', 'nothing', 'else', 'say']"
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,81,0,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'am', 'x']"
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,76,0,"['stil', 'loking', 'car', 'buy', 'go', 'driving', 'test', 'yet']"
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,0,"['per', 'request', 'mele', 'mele', 'oru', 'minaminunginte', 'nurungu', 'vetam', 'ben', 'set', 'calertune', 'al', 'calers', 'pres', 'copy', 'friend', 'calertune']"
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,183,0,"['wow', 'right', 'mean', 'gues', 'give', 'boston', 'men', 'change', 'search', 'location', 'nyc', 'something', 'change', 'cuz', 'signin', 'page', 'stil', 'say', 'boston']"
Umma my life and vava umma love you lot dear,0,44,0,"['uma', 'life', 'vava', 'uma', 'love', 'lot', 'dear']"
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,95,0,"['thanks', 'lot', 'wish', 'birthday', 'thanks', 'make', 'birthday', 'truly', 'memorable']"
"Aight, I'll hit you up when I get some cash",0,43,0,"['aight', 'l', 'hit', 'get', 'cash']"
How would my ip address test that considering my computer isn't a minecraft server,0,82,0,"['would', 'ip', 'adres', 'test', 'consider', 'computer', 'minecraft', 'server']"
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,115,0,"['know', 'grumpy', 'old', 'people', 'mom', 'like', 'beter', 'lie', 'always', 'one', 'play', 'joke']"
Dont worry. I guess he's busy.,0,30,0,"['dont', 'wory', 'gues', 'busy']"
What is the plural of the noun research?,0,40,0,"['plural', 'noun', 'research']"
Going for dinner.msg you after.,0,31,0,"['go', 'diner', 'msg']"
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,96,0,"['ok', 'wif', 'co', 'like', 'try', 'new', 'thing', 'scar', 'u', 'dun', 'like', 'mah', 'co', 'u', 'say', 'loud']"
GENT! We are trying to contact you. Last weekends draw shows that you won a еЈ1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,159,1,"['gent', 'try', 'contact', 'last', 'wekends', 'draw', 'show', 'prize', 'guaranted', 'cal', 'claim', 'code', 'k', 'valid', 'hr', 'pm']"
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,143,0,"['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', 'fine', 'juz', 'eatin', 'much', 'n', 'putin', 'weight', 'haha', 'anythin', 'special', 'hapened']"
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,0,"['enter', 'cabin', 'pa', 'say', 'hapy', 'b', 'day', 'bos', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invite', 'apartment', 'go']"
You are a winner U have been specially selected 2 receive еЈ1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,153,1,"['winer', 'u', 'ben', 'specialy', 'select', 'receive', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', 'claim', 'p', 'min']"
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,72,0,"['godo', 'yes', 'must', 'speak', 'friday', 'eg', 'potato', 'ratio', 'tortila', 'neded']"
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,86,0,"['hm', 'uncle', 'inform', 'pay', 'schol', 'directly', 'pls', 'buy', 'fod']"
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,144,1,"['private', 'acount', 'statement', 'show', 'unredemed', 'bonus', 'point', 'claim', 'cal', 'identifier', 'code', 'expire']"
"URGENT! Your Mobile No. was awarded еЈ2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,157,1,"['urgent', 'mobile', 'award', 'bonus', 'caler', 'prize', 'final', 'try', 'contact', 'u', 'cal', 'landline', 'box', 'wr', 'c', 'pm']"
here is my new address -apples&pairs&all that malarky,0,53,0,"['new', 'adres', 'aples', 'pair', 'al', 'malarky']"
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,156,1,"['today', 'voda', 'number', 'end', 'select', 'receive', 'award', 'match', 'please', 'cal', 'quote', 'claim', 'code', 'standard', 'rate', 'ap']"
I am going to sao mu today. Will be done only at 12 ,0,52,0,"['go', 'sao', 'mu', 'today', 'wil', 'do']"
МП predict wat time М_'ll finish buying?,0,40,0,"['predict', 'wat', 'time', 'l', 'finish', 'buying']"
"Good stuff, will do.",0,20,0,"['god', 'stuf', 'wil']"
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,244,0,"['know', 'yetunde', 'sent', 'money', 'yet', 'send', 'text', 'bother', 'send', 'dont', 'involve', 'anything', 'impose', 'anything', 'first', 'place', 'apologise']"
Are you there in room.,0,22,0,['rom']
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,107,0,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'wel', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'cal', 'sum', 'time', 'lucyx']"
K..k:)how much does it cost?,0,28,0,"['k', 'k', 'much', 'cost']"
I'm home.,0,9,0,['home']
"Dear, will call Tmorrow.pls accomodate.",0,39,0,"['dear', 'wil', 'cal', 'tmorow', 'pls', 'acomodate']"
First answer my question.,0,25,0,"['first', 'answer', 'question']"
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. еЈ1.50 SP:Tyrone,1,126,1,"['sunshine', 'quiz', 'wkly', 'q', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', 'txt', 'ansr', 'sp', 'tyrone']"
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,162,1,"['want', 'get', 'lay', 'tonight', 'want', 'real', 'doging', 'location', 'send', 'direct', 'ur', 'mob', 'join', 'uk', 'large', 'dog', 'network', 'bt', 'txting', 'gravel', 'nt', 'ec', 'p', 'msg', 'p']"
I only haf msn. It's yijue@hotmail.com,0,38,0,"['haf', 'msn', 'yijue', 'hotmail', 'com']"
He is there. You call and meet him,0,34,0,"['cal', 'meet']"
No no. I will check all rooms befor activities,0,46,0,"['wil', 'check', 'al', 'rom', 'befor', 'activity']"
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,155,1,"['l', 'rcv', 'msg', 'chat', 'svc', 'fre', 'hardcore', 'service', 'text', 'go', 'u', 'get', 'nothing', 'u', 'must', 'age', 'verify', 'yr', 'network', 'try']"
Got c... I lazy to type... I forgot М_ in lect... I saw a pouch but like not v nice...,0,86,0,"['get', 'c', 'lazy', 'type', 'forget', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']"
"K, text me when you're on the way",0,33,0,"['k', 'text', 'way']"
"Sir, Waiting for your mail.",0,27,0,"['sir', 'wait', 'mail']"
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0,158,0,"['swt', 'think', 'nver', 'get', 'tired', 'litle', 'thing', 'lovable', 'person', 'coz', 'somtimes', 'litle', 'thing', 'ocupy', 'big', 'part', 'heart', 'gud', 'ni']"
I know you are. Can you pls open the back?,0,42,0,"['know', 'pls', 'open', 'back']"
Yes see ya not on the dot,0,25,0,"['yes', 'se', 'ya', 'dot']"
Whats the staff name who is taking class for us?,0,48,0,"['whats', 'staf', 'name', 'take', 'clas', 'u']"
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,159,1,"['fremsg', 'reply', 'text', 'randy', 'sexy', 'female', 'live', 'local', 'luv', 'hear', 'u', 'netcolex', 'ltd', 'p', 'per', 'msg', 'reply', 'stop', 'end']"
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,84,0,"['uma', 'wil', 'cal', 'check', 'life', 'wil', 'begin', 'qatar', 'pls', 'pray', 'hard']"
K..i deleted my contact that why?,0,33,0,"['k', 'delete', 'contact']"
Sindu got job in birla soft ..,0,30,0,"['sindu', 'get', 'job', 'birla', 'soft']"
The wine is flowing and i'm i have nevering..,0,45,0,"['wine', 'flow', 'nevering']"
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,59,0,"['yup', 'thk', 'cine', 'beter', 'co', 'ned', 'go', 'plaza', 'mah']"
Ok... Ur typical reply...,0,25,0,"['ok', 'ur', 'typical', 'reply']"
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,0,"['per', 'request', 'mele', 'mele', 'oru', 'minaminunginte', 'nurungu', 'vetam', 'ben', 'set', 'calertune', 'al', 'calers', 'pres', 'copy', 'friend', 'calertune']"
